Name of the place,Campus,Building,"Floor (0,1, 2, ...)",Name of image file,Latitude,Longitude,Group,Individual,Cafeteria,Power Outlets,Whiteboards,Computers,Comfortable chairs/Poufs/Couches
stolikiB18,B18,Katedra Mikroelektroniki i Technik Informatycznych,0,B18parter.jpeg,51.746008,19.45644,0,1,1,0,0,0,0
stolikiB18piętro,B18,Katedra Mikroelektroniki i Technik Informatycznych,1,B18piętro.jpeg,51.746252,19.455767,1,0,0,1,0,0,1
strefa rosswoju,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,2,strefarosswoju.jpeg,51.745964,19.454862,1,0,0,1,1,0,1
brunch cafe,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,0,brunch.jpeg,51.745935,19.45457,1,0,1,1,1,0,1
,,,,brunch2.jpeg,,,1,0,1,1,1,0,1
strefa ciszy pietro 4,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,4,strefa_ciszy_pietro4.jpeg,51.746222,19.455001,0,1,0,0,0,0,1
strefa ciszy pietro 3,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,3,strefa_ciszy_pietro3.jpeg,51.746074,19.45414,0,1,0,0,0,0,1
pufy pietro 1,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,1,pufy_pierwsze_piętro.jpeg,51.745984,19.455147,1,0,0,0,0,0,1
kanapy przy wejsciu,B17,Centrum Papiernictwa i Poligrafii Politechniki Łódzkiej,0,kanapy_przy_wejściu.jpeg,51.746028,19.454344,0,1,1,0,0,0,1
,,,,,,,,,,,,,
Academic centre,A30,Akademickie Centrum Zaufania,0,IMG_3808.HEIC,51.752596,19.451415,1,0,0,1,0,,1
Relax room,A22,Wydział Mechaniczny,0,IMG_3810 2.HEIC,51.752392,19.452155,1,0,0,1,0,0,1
021A1,A28,Instytut Inżynierii Materiałowej,0,IMG_3814.HEIC,51.752571,19.451493,1,0,0,1,0,0,1
IFE relax zone,A16,Instytut Architektury Tekstyliów I41,1,IMG_3816.HEIC,51.752571,19.45148,1,0,1,1,0,0,0
Open Space 1,A34,Alchemium,0,IMG_3820.HEIC,51.755562,19.45648,1,0,0,1,0,0,1
Open Space 2,A34,Alchemium,0,IMG_3818.HEIC,51.755562,19.456481,1,0,0,1,0,0,1
Rest Space,A2,Wydział Biotechnologii i Nauk o Żywności,1,IMG_3822.HEIC,51.754749,19.45249,1,0,0,0,0,0,1
RestSpace,A4,Wydział Biotechnologii i Nauk o Żywności,1,IMG_3824.HEIC,51.754802,19.453088,1,0,0,0,0,0,1
Rest Space ii,A4,Wydział Biotechnologii i Nauk o Żywności,1,IMG_3826.HEIC,51.754804,19.453086,0,1,0,0,0,0,0
Brunch Bistra,A3,Wydział Biotechnologii i Nauk o Żywności,1,IMG_3828.HEIC,51.754803,19.45308,0,0,1,1,0,0,1
Open rest room,A2,Wydział Biotechnologii i Nauk o Żywności,1,IMG_3830.HEIC,51.7548,19.453088,1,0,0,1,0,0,1
Sofas room,A2,Wydział Biotechnologii i Nauk o Żywności,3,IMG_3832.HEIC,51.7548,19.453095,1,0,0,1,0,0,1
Study room,A6,Wydział Inżynierii Procesowej i Ochrony Środowiska,0,IMG_3840.HEIC,51.753845,19.453333,1,0,0,0,0,0,1
Sofas space,A10,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",0,IMG_3842.HEIC,51.753855,19.453329,1,0,0,1,0,0,1
Rest space,A10,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",1,IMG_3844.HEIC,51.753875,19.453349,1,0,0,1,0,0,1
Tables-Open space,A10,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",1,IMG_3846.HEIC,51.75387,19.453379,1,0,0,1,0,0,1
Rest Sofas,A10,"Wydział Elektrotechniki, Elektroniki, Informatyki i Automatyki",1,IMG_3848.HEIC,51.753865,19.453339,1,0,0,0,0,0,1
IFE rest area,A16,Centrum Współpracy Międzynarodowej,0,IMG_3865 2.HEIC,51.755106,19.451351,0,1,0,1,0,0,1
IFE open area,A16,Centrum Współpracy Międzynarodowej,0,IMG_3912.HEIC,51.755039,19.451127,1,0,0,0,0,0,1
IFE rest area,A16,Centrum Współpracy Międzynarodowej,1,IMG_3918.HEIC,51.755027,19.451079,1,0,0,0,0,0,1
IFE glass-closed rest area,A16,Centrum Współpracy Międzynarodowej,1,IMG_3920.HEIC,51.755092,19.451294,0,1,0,1,0,0,1
Amazon Innovation Room,A16,Centrum Współpracy Międzynarodowej,1,IMG_3922.HEIC,51.755066,19.451289,1,0,0,1,,,1
,,,,,,,,,,,,,
wait-area,B14,"Instytut Fizyki Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej",0,B14_parter.jpeg,51.74647,19.455073,1,0,1,0,0,0,1
study area B14,B14,"Instytut Fizyki Wydział Fizyki Technicznej, Informatyki i Matematyki Stosowanej",1,B14_piętro1.jpeg,51.746605,19.455401,1,0,0,1,0,0,1
library in B6,B6,I61 - Instytut Architektury i Urbanistyki,0,architektura_biblioteka.jpeg,51.748724,19.452449,1,0,0,1,0,0,1
styudy area B6,B6,I61 - Instytut Architektury i Urbanistyki,7,architektura_7_piętro.jpeg,51.744273,19.459091,1,0,0,1,0,0,1
CJ open area,B24,Centrum Językowe,0,CJ.jpeg,51.745401,19.452379,1,0,1,1,0,0,1
yellow rest area,B7,Kolegium Gospodarki Przestrzennej,0,parter.jpeg,51.747633,19.45151,0,1,0,1,0,0,1
open space,B22,Biblioteka Politechniki Łódzkiej,1,biblioteka_1_piętro.jpeg,51.745616,19.454842,1,0,1,1,0,0,1
rest poufs,B22,Biblioteka Politechniki Łódzkiej,2,biblioteka_2_piętro.jpeg,51.745673,19.454836,1,0,0,1,0,1,1
gallery,B22,Biblioteka Politechniki Łódzkiej,2,biblioteka_galeria.jpeg,51.745531,19.454485,0,1,0,1,0,0,1
